name,grantsPlatform,amount,grantApprovalSource,fundingAuthorizationVote,percVoteWon,grantSubmissionUrl,funder,grantInitiative,grantToken,dateStart,endDt
Saavy,Tally,200000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x9d7f0e85fd3f85238888dbb55151bfe4f9b7afdef418cf33128071c755281dc7,,64.46,https://forum.arbitrum.foundation/t/savvy-final-stip-round-1/16854,Arbitrum DAO,STIP - Round 1,ARB,,
Pendle,Tally,2000000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x72e4eae44f212f81bdea4880b15cbff968a2257849e3aa4dc95bd3f039a3bdd3,,97.65,https://forum.arbitrum.foundation/t/pendle-final-stip-round-1/17234,Arbitrum DAO,STIP - Round 1,ARB,,
Premia,Tally,900000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xfc76965b400c55344ca9aa3134c17492b0c4585671965626fd42a19a76beeaca,,95.29,https://forum.arbitrum.foundation/t/premia-final-stip-round-1/17504,Arbitrum DAO,STIP - Round 1,ARB,,
Radiant DAO,Tally,2852044,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x678e4a657f451b1acd6247618e6beb6d258e5ab9eb9122ed276e2486a9d907ee,,97.94,https://forum.arbitrum.foundation/t/radiant-final-stip-round-1/16929,Arbitrum DAO,STIP - Round 1,ARB,,
WINR Protocol,Tally,2852044,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x44e5dfaa684ea711bb8cfaef43845b917044dc920e7a1c78d8afed201a416f52,,80.07,https://forum.arbitrum.foundation/t/winr-protocol-final-stip-round-1/16755/,Arbitrum DAO,STIP - Round 1,ARB,,
Rari Foundation,Tally,200000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x66b953a7cf4de9f6de54e6eb87ae291b5cc62f12c7fed68eba91043607883221,,89.17,https://forum.arbitrum.foundation/t/proposal-building-the-future-of-nfts-the-rarible-protocol-arbitrum-integration-proposal-revised/15615,Arbitrum DAO,STIP - Round 1,ARB,,
Questbook,Tally,1000000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xe07fb357b2b40e042ca58a36a1534afc33a1d313d4781ac433536bc884fc3c65,,82.83,https://forum.arbitrum.foundation/t/delegated-domain-allocation-by-questbook-arbitrum-dao-grants/14688,Arbitrum DAO,STIP - Round 1,ARB,,
TogetherCrew,Questbook,25000,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x62b,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x62b,N/A,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x62b,Questbook,Arbitrum New Proposals and Ideas,USDC,,
UniTap,Questbook,25000,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x61f&isRenderingProposalBody=true,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x61f&isRenderingProposalBody=true,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x61f&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Scattering,Questbook,20000,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x475&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x475&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Mystic,Questbook,13260,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5dd&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5dd&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
AMLOK,Questbook,24560,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=65a58ff31a2427b2010361ed&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=65a58ff31a2427b2010361ed&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Buddy Guard,Questbook,22500,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x610&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x610&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Hunt NFT,Questbook,7500,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5a7&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5a7&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Wallet Labels,Questbook,23700,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5f6&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5f6&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Pear Protocol,Questbook,15000,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5f6&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5f6&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
CRIPTO NO PIX,Questbook,10000,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x484&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x484&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Amelia (The Arbitrum Copilot),Questbook,8000,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x583&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x583&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Smilee,Questbook,8000,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x586&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x586&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Build3rs Labs,Questbook,9500,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x590&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x590&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Mountain Protocol,Questbook,25000,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x4ee&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x4ee&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Sweep n' Flip,Questbook,7500,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x4e4&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x4e4&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
One Click Crypto,Questbook,22000,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x558&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x558&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Giveth,Questbook,7500,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x626&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x626&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
Clique,Questbook,15000,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x490&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x490&isRenderingProposalBody=true,Questbook,Arbitrum New Proposals and Ideas,USDC,,
ETH Gathering,Questbook,8000,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=65d37ac07c1bc08ee1a708fa&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=65d37ac07c1bc08ee1a708fa&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
CryptoGalaxy,Questbook,16500,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=65b6b5f0c78801149f53e1fb&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=65b6b5f0c78801149f53e1fb&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
LearnWeb3,Questbook,18000,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x62a&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x62a&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
Warri,Questbook,15151,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x5ca&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x5ca&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
Atoma Project,Questbook,11124,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x4e1&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x4e1&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
