name,websiteUrl,twitterHandle,githubHandle,duneHandle,fundingWalletAddress,,,
Warri,meetup.com/web3-warri,web3_warri,,,0xb5323C93B11a9A3c3522eFf617dDDfA6d57597f1,,,
Atoma,sebix.notion.site/Atoma-Communications-Growth-46f7f261ba584f02a09b8603a7e99af,atoma_web,,,0x9276e90B6C43118621964C734B77359A87B702B9,,,
Arbinaunts,cryptoversidad.com,cryptoversidad,,,0x9276e90B6C43118621964C734B77359A87B702B9,,,
Layer3,layer3xyz,layer3xyz,,l3-dune-wizards,0xB3E365212E44BbD1edDA89397f71Aa7b49c4f3aF,,,
Crypto al-Arabi,cryptoalarabi.com,cryptoalarabi,,,0xCd04268da4037613c28531fc89b79C26E0763DC0,,,
urbe.eth,,urbeEth,,,0xC37eAac323B0685D95bC656ae31f5eD04CbDcF28,,,
The Rollup,therollup.co,therollupco,,,0x69dA17a9228FBf07bA0A0967ac5959dEd66eDccc,,,
The Blockchain Innovation Hub,blockchaininnovationhub.com,blockchainnih,,,0x1191eFE82884eA1089AC51E894d1559df2E350C0,,,
MetricsDAO,metricsdao.xyz,MetricsDAO,,,0x89E858E0EB8CB90c66Bb756a83112eeBB76e0cf0,,,
Nearx Innovation School,nearx.com.br,nearxschool,,,0x02ccDa737a723a2B35aD328A05db0019FB5268c7,,,
DoDAO,dodao.io,,,,0x5794e3ba7391b2b9806b738b20c3f2099e16dd5d,,,
Ethereum México,ethmexico.com,ethereum_mexico,,,0x7674D60760918Ae89cA71F2ce1Af2b2E740E2c8E,,,
DeFi Africa,defiafrica.net,defiafrica,,,0x3c3219a047dDFc766Cc8F01613A9A20142F6e15F,,,
WorldWarDAO,worldwaredao.army,WorldWarDAO,,,,,,
Fair Protocol,,,,,0xcaa495482D5f3b3B858ABC4E6BB7b74051d9F988,,,
Puzzled,,,,,0x39D2ce39Ff405Ac063aE999a0B79E997ED98f396,,,
DATA2073,data2073.io,data2073,,,0xc7Ba810Dc2c1Ccb6268A80edb5C124bc0e4Bb7b7,,,
Spike,,SpikeReacts,,,0x24ff96E962e906f6df41094dd79d8e3C74862B0F,,,
Chaquer,chaquer.xyz,chaquer_rtsgame,,,0xEbCdf64CdF2d9452724767b4ed283678D54CaA49,,,
Gaming Startup Collective,,GamingStartUp_,,,0xdBbb8d1ee3a0B118cC46F8FBE518c2A5aA483f45,,,
Land Labor and Capital,llcgame.io,,,,0x973fC3da93533e8d5c9C85bE809be553eB081557,,,GET REAL WALLETS
"Permadeath Studios, Inc",,kaiju.cards,,,,,,
Gaming Chronicles,ggchronicles.com,ggchronicles_,,,,,,
Spire,Spire_DAO,Spire_DAO,,,,,,
etherSource,ethersourcerpg,ethersource.gg,,,0xd76fF76AC8019C99237BDE08d7c39DAb5481Bed2,,,
Sapphire Studios,sapphirerdc.com,saphireRDC,,,0xa85c1531C9b1740B5fE5c77e6C81ABF27B6D5bbF,,,
Smithonia,smithonia.lol,SmithyDAO,,,0x27dc208468100Ff557A6ef07b2FcB16a5584dfd1,,,
Frags,,,,,0x8328A168DbC1BA2790ECa0a91d4Df01e8d61179a,,,
Chess.fish,chess.fish,evmchess,Chess-Fish,,0x29568c30AFeB0487af38eb3c9dd72502035ee262,,,
Dhive,dhive.io,,snowdot,,0x9d4562a3ea114492C6553f76aC942e63ac38915B,,,
Blockful,,,,,0x000ee9A6Bcec9AadCc883bD52B2c9A75FB098991,,,
L3MBDA,l3mbda.com,,,,0x437b7a60a75E251684aB6440E06fCDaB82552574,,,
Tolga Yaycı,,,tolgayayci,,0x3dFe378547104ddF6e80fF26D1681a6D7A9f1aF0,,,
Mert Köklü,,,justmert,,0xf5412558d977915D56d8B4d3773871142d379E74,,,
JiffyScan,jiffyscan.xyz,,,,0xdd347ad6aA6D26ae6840ed3574E6Ce4b0E002066,,,
DeFi Teller,defiteller.com,DeFiTeller,,,0x0bf595Ac5A984432CA2164bB8A4751F0d6a86aB7,,,
Espacio Cripto,espaciocripto.substack.com,EspacioCrypto,,,0x1d4d44Bca3F094A64db1f5C2AAdc636B8e557772,,,
Bonadocs,bonadocs.com,,,,0xa4d3e318A00416fc8932aF9ac570ECfC50511502,,,
Wasup Wallet,wasupwallet.com,,wasup-walet,,0xF75bf234a1732f8E3C64d9a8a4fC7b6031a076B7,,,
ShapeShift DAO,shapeshift.com,,shapeshift/unchained,,0x38276553F8fbf2A027D901F8be45f00373d8Dd48,,,
Laika,getlaikaapp,getlaika.app,,,,,,
Oku,oko.trade,okutrade,gfx-labs/uniswap-v3-limit-orders,,0xa6e8772af29b29B9202a073f8E36f447689BEef6,,,
Ephema,ephema.io,,,,,,,
Slash Payment,slash.fi,,,,,,,
Revert Finance,revert.finance,revertfinance,revert-finance,,,,,
ETH Bucharest,,,,,,,,
AlphaBlocks,alphablocks.tech,AlphaBlocksTech,,,,,,
GreenPill Brasil,,greenpillbrasil,greenpillbrasil,,,,,
Artizen,artizenfund,artizen.fund,,,0x6B27326F21A110dd6B4A28E646136B5763d69Ee0,,,
ReFi Colombia,linktr.ee/reficolombia,RefiColombia,adminreficolombia,,,,,
KOKO DAO,kokodao.xyz,kokodaoxyz,anamariam16,,0x7f722b8b013Ac7Bd654B3B102Acc7573A32DB9bc,,,
Brale,brale.xyz,brale_xyz,,,,,,
How to DAO,howdao.xyz,howdaobook,,,,,,
ReFi DAO,linktr.ee/refidao,ReFiDAOist,,,0x7340F1a1e4e38F43d2FCC85cdb2b764de36B40c0,,,
ReFi Paramaribo,innovatorsbuzz.org,ReFiParamaribo,,,,,,
Plurality Labs,pluralitylabs.com,pluralitylab,,,,,,
Fronk World,,,,,0x645Bb4815cF3A8b6BE7ADF459Ab3BF12AE22e64B,,,
Decentralized GrantStream,,maslineze,alexandr-masl/web3-crowdfunding-on-allo-V2,,,,,
Spray,spray.cash,,,,,,,
Gardens DAO,https://gardensdao.eth.limo/,gardensdao,1Hive/gardens-v2,,,,,
Allo Explorer,,https://x.com/HarshMashruwala,Harsh8196/allo-explorer,,,,,
AGDM,,,G-r-ay/Arbitrum-QA-Dashboard,,,,,
Magari,,BlockStarLogic1,cryptotwilight/margari/,,,,,
Solidgrant,https://solidgrant.click,atenyun,web3senior/solidgrant,,,,,
Alloliance,,,Alloliance,,,,,
"Ethereum Costa Rica
",https://www.meetup.com/ethereumcr/,EthereumCR,Ethereum-Costa-Rica,,,,,
attesta_mesta bot,Atesta-Bot,0xvato,Atesta-Bot,,,,,
deCredit Score,decreditscore.xyz,0xUrbanika,HBesso31,,,,,
MesoReefDAO,https://linktr.ee/mesoreefdao,MesoReefDAO,MesoReefDAO,,,,,
Nerds.World,nerds.world,,,,,,,
Tucán,https://tucan.vercel.app/,tucanfrutero,tucanfrutero,,,,,
ArbitrumDAO Delegates,,nuel_ikwuoma,aikilabs,,,,,
Larva,,Larvandweb3,Larvandweb3,,,,,
Ouroboros Research,,0xRamenUmai,Ouroboros-Research,,,,,
Atomist,,0xAtomist,Atomist-Castle-Capital,,,,,
Voting Power,https://votingpower.xyz/,alexslobodnik,nftyslobo,,,,,
Arbitrum STIP Tracker,SniperMonke01,snipermonke01,,,,,,
InBest Program,https://linktr.ee/inbest,InBestProgram,Inbest-Program,,,,,
Raho History,https://www.raho.me/stip,raholloway,raho11,,,,,
Biteye,defiteddy2020,https://biteye.info/,DeFiEye,,,,,
Andy,https://linktr.ee/ayyyeandy,ayyyeandy,The-Rollup,,,,,
thinkDecade,https://thinkdecade.substack.com/,thinkDecade,thinkDecade,,,,,
Burn,https://forum.arbitrum.foundation/t/rfp-abitrum-short-term-incentive-program-stip-data-monitoring-and-reporting/18456,mitchburns_,burns-unit,,,,,
Fraxesco,https://fraxcesco.substack.com/,francescoweb3,francescoweb3-github,,,,,
