granteeName,grantInitiative,amount,tokenAddress,grantSubmissionUrl,grantApprovalAction,percVoteWon,grantPlatform
Tales of Elleria,STIP - Round 1,50000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x3151691cde313ff87ff4024b75a40296c4b1244a37efdd6f10d53c6589c9bfde,70.21%,Tally
TIDE,STIP - Round 1,80000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,NaN,85.07%,Tally
Solv Protocol,STIP - Round 1,150000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xb4be8b07d53cd5e865ee78543f9dff52241fdb22da4970fb5d637ba025cf2a61,66.03%,Tally
Furucombo,STIP - Round 1,59500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x1281a058914a2fcf91b45098a8be812da69fc4fe46158a07ed02225f37816818,71.54%,Tally
dForce,STIP - Round 1,1000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xfd973e0ea26cee54a45f9894ac9be82b87dc2e1f2aa73ba2c3eba83f47201ff4,66.03%,Tally
Sanko GameCorp,STIP - Round 1,500000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xe80e8f5e41070cbd992625b4edc829bbbcd2392e83b4941d8c17bbd829477358,53.84%,Tally
Ramses,STIP - Round 1,1248000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xb81842bee7514dc270a7ba1d57766ac99fcbf774d02745de335037247f5b97bf,66.42%,Tally
Vela Exchange,STIP - Round 1,1000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x4b9b9a636554d52a2b925f6aa40eb7ad626181a63f9d0a62c4a0537302d53d87,66.03%,Tally
Thetanuts Finance,STIP - Round 1,200000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x61a4311cc427b02bf6f69a7f1d262b7a50998d37916564934194fb1eefee8a6e,58.46%,Tally
Jones DAO,STIP - Round 1,200000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xb8798bb81535a45813f55d07fcc030ac003a450b7b8177c16972cd37f60211bc,97.50%,Tally
Wormhole Foundation,STIP - Round 1,1800000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x0aca1e2dd1d7ac5f6b687fe68fc8ed11affbb0ea261511736cc50498d55006a2,56.77%,Tally
Shell Protocol,STIP - Round 1,750000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x2ca200dbcc6eabbee282e82c458be2a7188c47dc4e71979aa3b04f1f91dd1886,66.92%,Tally
Realm,STIP - Round 1,300000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xaa70ce32349090c4a0732188cca3a4a52c4ad381fff6b85cebd1615d1147b41c,57.46%,Tally
unshETH,STIP - Round 1,375000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x40604b0134f09996041ae087308a5d67ef601943d5f9e556eb5a6c7363c9563e,59.57%,Tally
StakeDAO,STIP - Round 1,200000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x881849ef110e3097c812cc69249f17680aa90606aac98f9d4aaf38e12b9162a0,53.03%,Tally
D2 Finance,STIP - Round 1,1000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x3f43c84a863eb88afd0bc593290cd4bb8a9ce90f8105c15cf1b0252866e3e051,54.5,Tally
